ReNamn;Företag;Gruppnamn;RE;StartHour;EndHour;StartMonth;EndMonth;Hur de tar ut abonnerad effekt/höglast;Källa;Kommentar
REL00565;E.ON Energidistribution AB;Forskraft;REL00565Forskraft;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00565;E.ON Energidistribution AB;Örebro;REL00565Örebro;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00565;E.ON Energidistribution AB;Norrköping;REL00565Norrköping;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00565;E.ON Energidistribution AB;Småland;REL00565Småland;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00587;E.ON Energidistribution AB;;REL00587;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00587;E.ON Energidistribution AB;Sollefteå;REL00587Sollefteå;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00587;E.ON Energidistribution AB;Energinät;REL00587Energinät;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00587;E.ON Energidistribution AB;;REL00587;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;Sydkraft Syd;REL00593Sydkraft Syd;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;Markaryd;REL00593Markaryd;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;Malmö;REL00593Malmö;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;Uppvidinge;REL00593Uppvidinge;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;Lessebo;REL00593Lessebo;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;Hässleholm;REL00593Hässleholm;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
